544 ; 15 10 0 12 9 12 6 9 12 3 0 ; 68 19 6 0 
545 ; 13 15 6 15 3 6 12 6 3 ; 78 27 13 6 
546 ; 6 0 3 9 9 3 15 ; 88 36 21 12 0 
547 ; 6 0 6 12 6 12 ; 99 46 30 19 6 
548 ; 6 3 15 9 12 0 ; 57 39 27 13 0 
549 ; 3 0 12 12 3 0 ; 69 49 36 21 6 
550 ; 0 15 12 6 3 15 0 ; 81 59 46 30 12 
551 ; 9 6 6 12 3 15 ; 94 69 57 40 19 
552 ; 6 9 9 9 6 12 0 ; 80 69 51 27 
553 ; 3 12 12 6 9 9 3 0 ; 92 81 63 36 
554 ; 0 15 15 3 12 6 3 3 0 ; 93 76 45 
555 ; 0 15 3 6 6 3 ; 90 55 
556 ; 0 9 9 6 ; 66 
557 ; 12 12 6 ; 78 
558 ; 15 15 9 0 ; 91 0 
559 ; 12 3 0 ; 6 
560 ; 15 6 3 ; 12 0 
561 ; 9 6 15 ; 19 6 0 
562 ; 12 9 12 15 0 ; 27 13 6 0 
563 ; 15 12 9 12 3 15 ; 36 21 12 5 0 
564 ; 15 6 9 6 12 15 ; 46 30 19 11 5 0 
565 ; 6 6 9 12 12 ; 57 39 27 17 10 6 0 
566 ; 6 3 9 12 12 15 ; 69 49 36 24 16 13 6 
567 ; 6 0 9 12 12 12 15 ; 81 60 45 31 22 20 13 
568 ; 6 12 12 12 12 12 0 ; 94 72 55 39 29 28 21 
569 ; 6 15 12 12 9 9 3 15 ; 84 66 48 37 36 30 
570 ; 3 12 12 6 9 6 12 ; 96 78 58 46 45 40 
571 ; 0 9 9 3 6 9 12 ; 91 69 56 45 51 
572 ; 6 6 0 3 9 12 ; 81 67 55 63 
573 ; 3 3 0 12 9 15 ; 93 78 66 76 0 
574 ; 0 0 15 6 12 0 ; 89 77 90 6 0 
575 ; 3 9 3 15 0 ; 88 13 6 0 
576 ; 0 6 6 12 3 0 ; 20 13 5 0 
577 ; 3 9 9 3 3 15 0 ; 28 21 11 6 0 
578 ; 0 12 6 3 6 12 3 ; 37 29 18 13 6 0 
579 ; 15 3 6 9 9 3 ; 47 37 25 21 13 6 
580 ; 0 6 12 6 6 15 ; 58 46 32 30 21 12 
581 ; 6 15 6 6 12 ; 69 56 40 39 29 19 0 
582 ; 9 6 6 12 15 ; 80 67 49 49 37 26 6 
583 ; 12 6 9 12 12 ; 92 79 59 59 45 34 13 0 
584 ; 15 6 12 12 9 15 0 ; 92 70 70 54 43 21 6 
585 ; 6 15 9 6 12 3 0 ; 81 82 63 53 30 13 
